municipality,nom_ent,nom_mun,margination,T_mortalidad,T_mortalidad_Rural,T_mortalidad_Urbano,pct_single,avg_children_born,pct_fem_primary_degree,insurance_none,avg_prenatal_consults
5038,Coahuila de Zaragoza,Zaragoza,-1.250754787,0,0,0,30.3,2.6,21.1,65,8.388777126
6001,Colima,Armería,-0.876934665,1.071811361,1.178550383,0,33.4,2.9,15.1,155,6.529275475
6002,Colima,Colima,-1.392796668,0.100371374,0.107365257,0,37.8,2.2,23.3,1329,7.575802925
6003,Colima,Comala,-1.047826604,0,0,0,36.9,2.7,18.5,136,6.907087763
6004,Colima,Coquimatlán,-1.053288842,0,0,0,36.7,2.7,19.4,120,7.19519205
6005,Colima,Cuauhtémoc,-1.252946283,0,0,0,35,2.6,28.1,188,7.390664542
6006,Colima,Ixtlahuacán,-0.842996321,0,0,0,34,2.9,19.7,36,7.170311497
6007,Colima,Manzanillo,-1.267956843,0.338839475,0.353169698,0,33.2,2.2,24.2,983,7.202589777
6008,Colima,Minatitlán,-1.06064299,0,0,0,34.6,2.9,24.4,39,7.08172127
6009,Colima,Tecomán,-0.903087516,0.196831021,0.103993344,1.834862385,33.6,2.6,15.7,855,6.511038305
6010,Colima,Villa de Álvarez,-1.471172906,0.263469899,0.268240343,0,37,1.9,27.1,1036,7.648738525
7001,Chiapas,Acacoyagua,-0.365069537,1.479289941,0,4.504504505,36.8,2.9,22.5,322,6.106239924
7002,Chiapas,Acala,-0.310608153,0,0,0,32,2.5,15.7,298,6.125797844
7003,Chiapas,Acapetahua,-0.225452821,0.900090009,0,2.525252525,34.2,2.9,16.3,321,6.535860752
7004,Chiapas,Altamirano,0.198349004,0,0,0,35.7,2.8,14,1232,4.914762443
7005,Chiapas,Amatán,0.291063008,4.778972521,0,10.30927835,35.3,3,22.4,111,5.23881915
7006,Chiapas,Amatenango de la Frontera,-0.202122459,1.316655695,0,1.389854065,34.7,2.9,13.8,284,6.061505012
7007,Chiapas,Amatenango del Valle,0.758377589,5.952380952,0,20,35.2,2.6,1.2,31,5.749116323
7008,Chiapas,Angel Albino Corzo,-0.247841546,1.491053678,1.443001443,1.597444089,36.5,2.7,16.6,502,5.269905263
7009,Chiapas,Arriaga,-0.738782763,1.218026797,1.639344262,0,31.9,2.6,17.8,282,5.491547286
7010,Chiapas,Bejucal de Ocampo,0.008238003,0,0,0,39.9,3.2,10,69,6.178631739
7011,Chiapas,Bella Vista,-0.282638577,0.865800866,0,0.865800866,35.8,2.8,14.2,219,6.242983258
7012,Chiapas,Berriozábal,-0.252370655,1.263157895,0.462962963,9.302325581,32.4,2.6,13.2,407,5.925861201
7013,Chiapas,Bochil,-0.105415221,1.585623679,0.538213132,58.82352941,36.7,2.8,18.9,786,5.888489084
7014,Chiapas,El Bosque,0.242825529,1.367989056,0,35.71428571,38.5,2.7,18.6,326,5.50903835
7015,Chiapas,Cacahoatán,-0.576362671,0.624219725,0,4.484304933,36.4,2.6,21.2,239,6.092725349
7016,Chiapas,Catazajá,-0.556159609,0,0,0,32.4,2.7,21.4,86,5.913664538
7017,Chiapas,Cintalapa,-0.508127889,0.49382716,0.570939195,0,34.1,2.6,17.3,452,6.2456008
7018,Chiapas,Coapilla,-0.145396483,3.636363636,4.255319149,0,34.5,2.7,10.5,45,5.651219811
7019,Chiapas,Comitán de Domínguez,-0.735738995,0.39799411,0.261210274,1.85528757,32.9,2.2,14.8,1761,5.802129162
7020,Chiapas,La Concordia,-0.140993324,1.843657817,0,3.773584906,35.6,2.7,11.9,508,5.877900606
7021,Chiapas,Copainalá,-0.384308086,2.928257687,1.890359168,6.493506494,36.8,2.6,17.7,109,6.221665134
7022,Chiapas,Chalchihuitán,1.151231874,0,0,0,37.9,2.7,1.3,39,4.460679513
7023,Chiapas,Chamula,0.738544435,25.83979328,9.523809524,45.19774011,37.3,2.9,0.6,122,3.873282234
7024,Chiapas,Chanal,0.637038717,4.784688995,5.555555556,0,35.1,3.6,3.1,44,5.321801126
