cve,entidad,pob
390,Cualác,0
391,Cuautepec,0
392,Cuetzala del Progreso,0
393,Cutzamala de Pinzón,3.134796238
394,Chilapa de Álvarez,0.694123091
395,Chilpancingo de los Bravo,0.620802528
396,Florencio Villarreal,1.164144354
397,General Canuto A. Neri,0
398,General Heliodoro Castillo,1.262626263
399,Huamuxtitlán,5.671077505
400,Huitzuco de los Figueroa,1.538461538
401,Iguala de la Independencia,0.576900888
402,Igualapa,0
403,Ixcateopan de Cuauhtémoc,0
404,Zihuatanejo de Azueta,0.29476787
405,Juan R. Escudero,0
406,Leonardo Bravo,1.152073733
407,Malinaltepec,0
408,Mártir de Cuilapan,3.215434084
409,Metlatónoc,3.472222222
410,Mochitlán,0
411,Olinalá,3.058103976
412,Ometepec,0.937207123
413,Pedro Ascencio Alquisiras,0
414,Petatlán,1.385041551
415,Pilcaya,2.262443439
416,Pungarabato,0.508130081
417,Quechultenango,1.169590643
418,San Luis Acatlán,4.135649297
419,San Marcos,1.557632399
420,San Miguel Totolapan,6.756756757
421,Taxco de Alarcón,0.204666394
422,Tecoanapa,3.129890454
423,Técpan de Galeana,0
424,Teloloapan,2.295332823
425,Tepecoacuilco de Trujano,0
426,Tetipac,0
427,Tixtla de Guerrero,2.095337873
428,Tlacoachistlahuaca,6.493506494
429,Tlacoapa,0
430,Tlalchapa,0
431,Tlalixtaquilla de Maldonado,0
432,Tlapa de Comonfort,0.904322662
433,Tlapehuala,0
434,La Unión de Isidoro Montes de Oca,0
435,Xalpatláhuac,0
436,Xochihuehuetlán,2.801120448
437,Xochistlahuaca,0
438,Zapotitlán Tablas,0
439,Zirándaro,3.663003663
440,Zitlala,0
441,Eduardo Neri,0.402252615
442,Acatepec,0
443,Marquelia,0
444,Cochoapa el Grande,21.97802198
445,José Joaquin de Herrera,0
446,Juchitán,0
447,Iliatenco,0
448,Acatlán,0
449,Acaxochitlán,0.997506234
450,Actopan,0
451,Agua Blanca de Iturbide,0
452,Ajacuba,0
453,Alfajayucan,0
454,Almoloya,0
455,Apan,0
456,El Arenal,0
457,Atitalaquia,0
458,Atlapexco,0
459,Atotonilco el Grande,1.154734411
460,Atotonilco de Tula,0
461,Calnali,2.415458937
462,Cardonal,0
463,Cuautepec de Hinojosa,0.914913083
464,Chapantongo,0
465,Chapulhuacán,2.840909091
466,Chilcuautla,0
467,Eloxochitlán,0
468,Emiliano Zapata,1.858736059
469,Epazoyucan,0
470,Francisco I. Madero,0.717360115
471,Huasca de Ocampo,0
472,Huautla,3.90625
473,Huazalingo,0
474,Huehuetla,3.367003367
475,Huejutla de Reyes,0.925711641
476,Huichapan,1.924927815
477,Ixmiquilpan,0.912408759
478,Jacala de Ledezma,0
479,Jaltocán,0
480,Juárez Hidalgo,0
481,Lolotla,0
482,Metepec,0
483,San Agustín Metzquititlán,0
484,Metztitlán,0
485,Mineral del Chico,0
486,Mineral del Monte,0
487,La Misión,0
488,Mixquiahuala de Juárez,0.500500501
489,Molango de Escamilla,0
490,Nicolás Flores,0
491,Nopala de Villagrán,0
492,Omitlán de Juárez,0
493,San Felipe Orizatlán,0
494,Pacula,0
495,Pachuca de Soto,0.350666266
496,Pisaflores,0
497,Progreso de Obregón,0
498,Mineral de la Reforma,0.215331611
499,San Agustín Tlaxiaca,1.034126163
500,San Bartolo Tutotepec,3.378378378
501,San Salvador,0
502,Santiago de Anaya,0
503,Santiago Tulantepec de Lugo Guerrero,0
504,Singuilucan,1.821493625
505,Tasquillo,0
506,Tecozautla,0
507,Tenango de Doria,0
508,Tepeapulco,1.220008133
509,Tepehuacán de Guerrero,0
510,Tepeji del Río de Ocampo,0.279251606
511,Tepetitlán,0
512,Tetepango,0
513,Villa de Tezontepec,0
514,Tezontepec de Aldama,0
515,Tianguistengo,0
516,Tizayuca,0.684579839
517,Tlahuelilpan,0
518,Tlahuiltepa,0
519,Tlanalapa,0
520,Tlanchinol,1.712328767
521,Tlaxcoapan,0
522,Tolcayuca,0
523,Tula de Allende,0.42625746
524,Tulancingo de Bravo,0.527648797
525,Xochiatipan,0
526,Xochicoatlán,0
527,Yahualica,0
528,Zacualtipán de Ángeles,1.093493712
529,Zapotlán de Juárez,2.739726027
530,Zempoala,0
531,Zimapán,0.832639467
532,Acatic,0.936329588
533,Acatlán de Juárez,0
534,Ahualulco de Mercado,0
535,Amacueca,0
536,Amatitán,0
537,Ameca,0.306372549
538,San Juanito de Escobedo,2.159827214
539,Arandas,0.768344218
540,El Arenal,0.896860987
541,Atemajac de Brizuela,0
542,Atengo,0
543,Atenguillo,0
544,Atotonilco el Alto,0.827129859
545,Atoyac,0
546,Autlán de Navarro,0.52882073
547,Ayotlán,0
548,Ayutla,0
549,La Barca,0.882093502
550,Bolaños,0
551,Cabo Corrientes,2.958579882
552,Casimiro Castillo,0
553,Cihuatlán,0.345901072
554,Zapotlán el Grande,0.182882224
555,Cocula,0
556,Colotlán,0
557,Concepción de Buenos Aires,0
558,Cuautitlán de García Barragán,0
559,Cuautla,0
560,Cuquío,0
561,Chapala,0
562,Chimaltitán,0
563,Chiquilistlán,0
564,Degollado,0
565,Ejutla,0
566,Encarnación de Díaz,1.385041551
567,Etzatlán,0
568,El Grullo,0
569,Guachinango,0
570,Guadalajara,0.649717514
571,Hostotipaquillo,0
572,Huejúcar,0
573,Huejuquilla el Alto,0
574,La Huerta,0.909918107
575,Ixtlahuacán de los Membrillos,0
576,Ixtlahuacán del Río,0
577,Jalostotitlán,0.71787509
578,Jamay,0
579,Jesús María,0
580,Jilotlán de los Dolores,0
581,Jocotepec,0
582,Juanacatlán,0
583,Juchitlán,0
584,Lagos de Moreno,0.653253201
585,El Limón,0
586,Magdalena,1.161440186
587,Santa María del Oro,0
588,La Manzanilla de la Paz,0
589,Mascota,0
590,Mazamitla,0
591,Mexticacán,0
592,Mezquitic,0
593,Mixtlán,0
594,Ocotlán,0.214041096
595,Ojuelos de Jalisco,0.580720093
596,Pihuamo,0
597,Poncitlán,0.383729854
598,Puerto Vallarta,0.406132602
599,Villa Purificación,0
600,Quitupan,0
601,El Salto,0.798266621
602,San Cristóbal de la Barranca,0
603,San Diego de Alejandría,0
604,San Juan de los Lagos,0.561009818
605,San Julián,0
606,San Marcos,0
607,San Martín de Bolaños,0
608,San Martín Hidalgo,0
609,San Miguel el Alto,0
610,Gómez Farías,0
611,San Sebastián del Oeste,0
612,Santa María de los Ángeles,0
613,Sayula,0.838574423
614,Tala,0.225529995
615,Talpa de Allende,0
616,Tamazula de Gordiano,0
617,Tapalpa,0
618,Tecalitlán,0
619,Tecolotlán,0
620,Techaluta de Montenegro,0
621,Tenamaxtlán,0
622,Teocaltiche,0
623,Teocuitatlán de Corona,0
624,Tepatitlán de Morelos,0.402468473
625,Tequila,0.777000777
626,Teuchitlán,0
627,Tizapán el Alto,2.162162162
628,Tlajomulco de Zúñiga,0.392253003
629,Tlaquepaque,0.478407859
630,Tolimán,0
631,Tomatlán,0.672043011
632,Tonalá,0.455710624
633,Tonaya,0
634,Tonila,0
635,Totatiche,0
636,Tototlán,0
637,Tuxcacuesco,0
638,Tuxcueca,0
639,Tuxpan,0
640,Unión de San Antonio,0
641,Unión de Tula,0
642,Valle de Guadalupe,0
643,Valle de Juárez,0
644,San Gabriel,0
645,Villa Corona,0
646,Villa Guerrero,0
647,Villa Hidalgo,3.745318352
648,Cañadas de Obregón,0
649,Yahualica de González Gallo,0
650,Zacoalco de Torres,2.014775017
651,Zapopan,0.685329789
652,Zapotiltic,0.665778961
653,Zapotitlán de Vadillo,0
654,Zapotlán del Rey,0
655,Zapotlanejo,0
656,San Ignacio Cerro Gordo,1.302083333
657,Acambay,0
658,Acolman,1.646090535
659,Aculco,0
660,Almoloya de Alquisiras,6.097560976
661,Almoloya de Juárez,0
662,Almoloya del Río,1.366120219
663,Amanalco,0
664,Amatepec,0
665,Amecameca,0.37202381
666,Apaxco,1.128668172
667,Atenco,0.610128127
668,Atizapán,0
669,Atizapán de Zaragoza,3.424657534
670,Atlacomulco,0.220264317
671,Atlautla,1.432664756
672,Axapusco,0
673,Ayapango,0
674,Calimaya,0.725689405
675,Capulhuac,1.321003963
676,Coacalco de Berriozábal,1.59642401
677,Coatepec Harinas,3.610108303
678,Cocotitlán,1.510574018
679,Coyotepec,1.081081081
680,Cuautitlán,0.357589844
681,Chalco,0.498891353
682,Chapa de Mota,0
683,Chapultepec,0
684,Chiautla,1.388888889
685,Chicoloapan,2.587017874
686,Chiconcuac,1.587301587
687,Chimalhuacán,1.101847431
688,Donato Guerra,0
689,Ecatepec de Morelos,0.914649638
690,Ecatzingo,2.049180328
691,Huehuetoca,0.934579439
692,Hueypoxtla,1.448225923
693,Huixquilucan,1.093852549
694,Isidro Fabela,0
695,Ixtapaluca,0.380228137
696,Ixtapan de la Sal,0
697,Ixtapan del Oro,0
698,Ixtlahuaca,0.83273852
699,Xalatlaco,0.78125
700,Jaltenco,1.555209953
701,Jilotepec,0.377928949
702,Jilotzingo,0
703,Jiquipilco,0
704,Jocotitlán,0.405679513
705,Joquicingo,0
706,Juchitepec,0.664010624
707,Lerma,0.673967987
708,Malinalco,2.181025082
709,Melchor Ocampo,0.881834215
710,Metepec,0.184877057
711,Mexicaltzingo,0
712,Morelos,1.149425287
713,Naucalpan de Juárez,0.554950801
714,Nezahualcóyotl,0.811594203
715,Nextlalpan,0
716,Nicolás Romero,1.569365976
717,Nopaltepec,5.263157895
718,Ocoyoacac,0.632311097
719,Ocuilan,0
720,El Oro,0
721,Otumba,0.927643785
722,Otzoloapan,0
723,Otzolotepec,1.526717557
724,Ozumba,0
725,Papalotla,0
726,La Paz,1.369521912
727,Polotitlán,4.098360656
728,Rayón,0
729,San Antonio la Isla,1.949317739
730,San Felipe del Progreso,0.196116886
731,San Martín de las Pirámides,1.172332943
732,San Mateo Atenco,0.588004704
733,San Simón de Guerrero,0
734,Santo Tomás,0
735,Soyaniquilpan de Juárez,3.759398496
736,Sultepec,0
737,Tecámac,1.156920488
738,Tejupilco,0
739,Temamatla,0
740,Temascalapa,1.287001287
741,Temascalcingo,1.808318264
742,Temascaltepec,0
743,Temoaya,1.573564123
744,Tenancingo,1.097092704
745,Tenango del Aire,0
746,Tenango del Valle,0.737599115
747,Teoloyucan,2.173913043
748,Teotihuacán,0
749,Tepetlaoxtoc,0
750,Tepetlixpa,0
751,Tepotzotlán,2.169197397
752,Tequixquiac,1.007049345
753,Texcaltitlán,3.333333333
754,Texcalyacac,0
755,Texcoco,1.454757056
756,Tezoyuca,2.016129032
757,Tianguistenco,0.546448087
758,Timilpan,0
759,Tlalmanalco,0.496031746
760,Tlalnepantla de Baz,1.01061142
761,Tlatlaya,0
762,Toluca,0.566336933
763,Tonatico,0
764,Tultepec,0.508388409
765,Tultitlán,1.760016565
766,Valle de Bravo,0.884173298
767,Villa de Allende,3.344481605
768,Villa del Carbón,1.762114537
769,Villa Guerrero,0.42408821
770,Villa Victoria,1.668752607
771,Xonacatlán,0.406834825
772,Zacazonapan,0
773,Zacualpan,0
774,Zinacantepec,0.099393698
775,Zumpahuacán,0
776,Zumpango,1.483190508
777,Cuautitlán Izcalli,2.135348226
778,Valle de Chalco Solidaridad,1.152239666
779,Luvianos,0
780,San José del Rincón,0
781,Tonanitla,0
782,Acuitzio,0
783,Aguililla,1.242236025
784,Álvaro Obregón,0.864304235
785,Angamacutiro,0
786,Angangueo,0
787,Apatzingán,0.620090947
788,Aporo,0
789,Aquila,0
790,Ario,1.699716714
791,Arteaga,2.378121284
792,Briseñas,0
793,Buenavista,0.353606789
794,Carácuaro,0
795,Coahuayana,0
796,Coalcomán de Vázquez Pallares,1.709401709
797,Coeneo,2.132196162
798,Contepec,1.529051988
799,Copándaro,0
800,Cotija,0
801,Cuitzeo,0
802,Charapan,1.485884101
803,Charo,0
804,Chavinda,0
805,Cherán,0.665335995
806,Chilchota,1.040041602
807,Chinicuila,0
808,Chucándiro,0
809,Churintzio,0
810,Churumuco,0
811,Ecuandureo,2.557544757
812,Epitacio Huerta,0
813,Erongarícuaro,1.984126984
814,Gabriel Zamora,1.734605377
815,Hidalgo,0.524383849
816,La Huacana,0
817,Huandacareo,1.811594203
818,Huaniqueo,0
819,Huetamo,0.543183053
820,Huiramba,0
821,Indaparapeo,0
822,Irimbo,1.718213058
823,Ixtlán,0
824,Jacona,0.843881857
825,Jiménez,0
826,Jiquilpan,0.64516129
827,Juárez,0
828,Jungapeo,1.919385797
829,Lagunillas,0
830,Madero,1.10619469
831,Maravatío,0.635122261
832,Marcos Castellanos,5.050505051
833,Lázaro Cárdenas,0.692520776
834,Morelia,0.37337316
835,Morelos,0
836,Múgica,0.32905561
837,Nahuatzen,2.948402948
838,Nocupétaro,2.252252252
839,Nuevo Parangaricutiro,0
840,Nuevo Urecho,0
841,Numarán,0
842,Ocampo,1.709401709
843,Pajacuarán,0.773993808
844,Panindícuaro,3.03030303
845,Parácuaro,0.766871166
846,Paracho,0.475285171
847,Pátzcuaro,0.541711809
848,Penjamillo,2.96735905
849,Peribán,0
850,La Piedad,0.331840053
851,Purépero,0
852,Puruándiro,0.379218809
853,Queréndaro,0
854,Quiroga,0
855,Cojumatlán de Régules,2.06185567
856,Los Reyes,1.96206671
857,Sahuayo,0.711068974
858,San Lucas,0
859,Santa Ana Maya,0
860,Salvador Escalante,0.790201501
861,Senguio,0
862,Susupuato,0
863,Tacámbaro,0
864,Tancítaro,2.645502646
865,Tangamandapio,0
866,Tangancícuaro,0
867,Tanhuato,0
868,Taretan,0
869,Tarímbaro,1.144492132
870,Tepalcatepec,1.064962726
871,Tingambato,0
872,Tingüindín,2.024291498
873,Tiquicheo de Nicolás Romero,2.207505519
874,Tlalpujahua,0
875,Tlazazalca,0
876,Tocumbo,0
877,Tumbiscatío,0
878,Turicato,0
879,Tuxpan,0
880,Tuzantla,0
881,Tzintzuntzan,1.506024096
