cve,entidad,pob
482,LOLOTLA,-0.771725602
483,METEPEC,-0.82833302
484,SAN AGUSTÍN METZQUITITLÁN,-0.424204916
485,METZTITLÁN,-0.468658221
486,MINERAL DEL CHICO,-1.149145701
487,MINERAL DEL MONTE,-0.142333429
488,LA MISIÓN,-1.067555138
489,MIXQUIAHUALA DE JUÁREZ,-0.560513543
490,MOLANGO DE ESCAMILLA,-0.396929135
491,NICOLÁS FLORES,-0.692462096
492,NOPALA DE VILLAGRÁN,-0.801698393
493,OMITLÁN DE JUÁREZ,-0.257121965
494,SAN FELIPE ORIZATLÁN,-0.18862961
495,PACULA,-1.402720755
496,PACHUCA DE SOTO,-0.218555953
497,PISAFLORES,-1.148923424
498,PROGRESO DE OBREGÓN,-1.467375601
499,MINERAL DE LA REFORMA,-0.902567268
500,SAN AGUSTÍN TLAXIACA,0.506260407
501,SAN BARTOLO TUTOTEPEC,-0.94509982
502,SAN SALVADOR,-0.894249138
503,SANTIAGO DE ANAYA,-1.081315662
504,SANTIAGO TULANTEPEC DE LUGO GUERRERO,-0.693823864
505,SINGUILUCAN,-0.781356614
506,TASQUILLO,-0.636527604
507,TECOZAUTLA,-0.312381675
508,TENANGO DE DORIA,-1.307894158
509,TEPEAPULCO,0.22017279
510,TEPEHUACÁN DE GUERRERO,-1.080135433
511,TEPEJI DEL RÍO DE OCAMPO,-0.899703863
512,TEPETITLÁN,-1.003285016
513,TETEPANGO,-1.039396791
514,VILLA DE TEZONTEPEC,-0.894352883
515,TEZONTEPEC DE ALDAMA,-0.091964266
516,TIANGUISTENGO,-1.35361407
517,TIZAYUCA,-1.074616347
518,TLAHUELILPAN,-0.291372316
519,TLAHUILTEPA,-1.298085021
520,TLANALAPA,-0.198498244
521,TLANCHINOL,-1.050769071
522,TLAXCOAPAN,-1.152298405
523,TOLCAYUCA,-1.222270841
524,TULA DE ALLENDE,-1.116173768
525,TULANCINGO DE BRAVO,0.387478523
526,XOCHIATIPAN,-0.426107268
527,XOCHICOATLÁN,0.140127352
528,YAHUALICA,-0.817143185
529,ZACUALTIPÁN DE ÁNGELES,-1.133757491
530,ZAPOTLÁN DE JUÁREZ,-1.164002361
531,ZEMPOALA,-0.815733968
532,ZIMAPÁN,-0.942181434
533,ACATIC,-1.206988172
534,ACATLÁN DE JUÁREZ,-1.244967901
535,AHUALULCO DE MERCADO,-1.092804274
536,AMACUECA,-1.178279663
537,AMATITÁN,-1.211873823
538,AMECA,-1.156086927
539,SAN JUANITO DE ESCOBEDO,-1.023110174
540,ARANDAS,-1.212915076
541,EL ARENAL,-0.683724388
542,ATEMAJAC DE BRIZUELA,-0.809573519
543,ATENGO,-1.104080729
544,ATENGUILLO,-1.078628536
545,ATOTONILCO EL ALTO,-0.896423913
546,ATOYAC,-1.215001882
547,AUTLÁN DE NAVARRO,-0.881450464
548,AYOTLÁN,-0.992511031
549,AYUTLA,-1.117631833
550,LA BARCA,0.379966056
551,BOLAÑOS,-0.786646346
552,CABO CORRIENTES,-1.082238328
553,CASIMIRO CASTILLO,-1.012116069
554,CIHUATLÁN,-1.295078205
555,ZAPOTLÁN EL GRANDE,-1.120587465
556,COCULA,-1.19512258
557,COLOTLÁN,-0.999837013
558,CONCEPCIÓN DE BUENOS AIRES,-0.155957112
559,CUAUTITLÁN DE GARCÍA BARRAGÁN,-0.984921649
560,CUAUTLA,-0.780230565
561,CUQUÍO,-1.266710735
562,CHAPALA,-0.14970358
563,CHIMALTITÁN,-0.732841194
564,CHIQUILISTLÁN,-0.989528672
565,DEGOLLADO,-1.119602257
566,EJUTLA,-1.04082809
567,ENCARNACIÓN DE DÍAZ,-1.24252324
568,ETZATLÁN,-1.164111583
569,EL GRULLO,-0.812299399
570,GUACHINANGO,-1.47229619
571,GUADALAJARA,-0.898878627
572,HOSTOTIPAQUILLO,-1.091398241
573,HUEJÚCAR,-0.673908473
574,HUEJUQUILLA EL ALTO,-0.929385035
575,LA HUERTA,-1.201116086
576,IXTLAHUACÁN DE LOS MEMBRILLOS,-0.905672634
577,IXTLAHUACÁN DEL RÍO,-1.156327855
578,JALOSTOTITLÁN,-1.137084804
579,JAMAY,-0.80797475
580,JESÚS MARÍA,-0.518326977
581,JILOTLÁN DE LOS DOLORES,-1.033885718
582,JOCOTEPEC,-1.257790505
583,JUANACATLÁN,-1.072299365
584,JUCHITLÁN,-1.091766684
585,LAGOS DE MORENO,-1.191413602
586,EL LIMÓN,-1.140612467
587,MAGDALENA,-0.095713826
588,SANTA MARÍA DEL ORO,-1.13879755
589,LA MANZANILLA DE LA PAZ,-1.170808185
590,MASCOTA,-1.02368676
591,MAZAMITLA,-1.014178306
592,MEXTICACÁN,0.790070145
593,MEZQUITIC,-0.967943397
594,MIXTLÁN,-1.24613438
595,OCOTLÁN,-0.756622145
596,OJUELOS DE JALISCO,-0.838824086
597,PIHUAMO,-0.901003185
598,PONCITLÁN,-1.323289835
